,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
106,-0.005978,-1.023153,0.076128,0.345625,0.188125,-0.35875,-0.650395,0.318036,0.081263,-85.154663,-0.318249,-170.794022,0.009795,0.012298,0.026143
107,-0.005978,-1.017053,0.076921,0.1925,-0.0525,-0.371875,-0.650395,0.318036,0.081263,-85.156006,-0.318923,-170.794708,0.009987,0.010982,0.020131
108,-0.007442,-1.012417,0.065697,1.491875,0.0525,-0.240625,-0.650395,0.318036,0.081263,-85.169983,-0.319212,-170.789825,0.007735,0.031566,0.025816
109,-0.005612,-1.021323,0.064233,-0.030625,0.039375,-0.231875,-0.650395,0.318036,0.081263,-85.173676,-0.31789,-170.791336,0.011907,0.023030,0.031227
110,-0.004575,-1.021445,0.082716,-0.07875,0.223125,-0.4025,-0.650395,0.318036,0.081263,-85.177757,-0.318,-170.791992,0.010442,0.005187,0.025005
111,-0.006649,-1.032425,0.079727,1.465625,0.1925,-0.4375,-0.650395,0.318036,0.081263,-85.162254,-0.319442,-170.793655,0.011001,0.009514,0.035687
112,-0.007808,-1.015467,0.054839,-0.11375,0.0525,-0.380625,-0.650395,0.318036,0.081263,-85.181526,-0.318619,-170.793228,0.008341,0.032416,0.016678
113,-0.007137,-1.024373,0.083143,0.37625,0.188125,-0.315,-0.650395,0.318036,0.081263,-85.157425,-0.318718,-170.796173,0.012068,0.002535,0.027113
114,-0.007320,-1.019859,0.076738,0.105,0.109375,-0.32375,-0.650395,0.318036,0.081263,-85.168388,-0.318453,-170.796753,0.010253,0.015047,0.021180
115,-0.008906,-1.020164,0.065575,1.1375,0.013125,-0.385,-0.650395,0.318036,0.081263,-85.16713,-0.319175,-170.798187,0.009775,0.022555,0.018214
116,-0.008357,-1.019798,0.075457,-0.9625,0.039375,-0.336875,-0.650395,0.318036,0.081263,-85.177261,-0.319147,-170.798309,0.012144,0.012659,0.022733
117,-0.006039,-1.023275,0.078263,1.544375,0.16625,-0.398125,-0.650395,0.318036,0.081263,-85.165329,-0.319355,-170.799408,0.010247,0.010031,0.026447
118,-0.005124,-1.014735,0.072407,-0.319375,0.074375,-0.4375,-0.650395,0.318036,0.081263,-85.169861,-0.321015,-170.800095,0.008518,0.014853,0.017445
119,-0.007747,-1.022482,0.073566,0.721875,0.13125,-0.3325,-0.650395,0.318036,0.081263,-85.165894,-0.320798,-170.801498,0.011216,0.014753,0.025859
120,-0.011346,-1.020469,0.078019,-0.949375,0.14,-0.371875,-0.650395,0.318036,0.081263,-85.170135,-0.320748,-170.802048,0.012199,0.008336,0.023538
121,-0.007198,-1.018883,0.071126,0.72625,0.118125,-0.415625,-0.650395,0.318036,0.081263,-85.182411,-0.320013,-170.804031,0.011138,0.018117,0.019930
122,-0.005124,-1.023702,0.07381,-0.5775,-0.013125,-0.385,-0.650395,0.318036,0.081263,-85.189323,-0.320734,-170.799118,0.008721,0.013881,0.026505
123,-0.008296,-1.017724,0.073505,0.65625,0.144375,-0.32375,-0.650395,0.318036,0.081263,-85.193398,-0.319636,-170.799698,0.011844,0.014113,0.020505
124,-0.006527,-1.026081,0.076921,-0.455,0.118125,-0.39375,-0.650395,0.318036,0.081263,-85.199287,-0.319576,-170.800522,0.010593,0.011063,0.029133
125,-0.005734,-1.014674,0.064904,-0.46375,0.105,-0.380625,-0.650395,0.318036,0.081263,-85.229637,-0.320983,-170.801331,0.006793,0.019533,0.032950
126,-0.006222,-1.020408,0.076433,0.083125,0.14,-0.424375,-0.650395,0.318036,0.081263,-85.227127,-0.321366,-170.801773,0.007696,0.012176,0.023775
127,-0.006954,-1.023092,0.069479,0.5075,0.083125,-0.2975,-0.650395,0.318036,0.081263,-85.229988,-0.321943,-170.802338,0.011135,0.017732,0.024068
128,-0.005795,-1.019127,0.069174,-0.319375,0.23625,-0.354375,-0.650395,0.318036,0.081263,-85.236534,-0.321699,-170.803421,0.008832,0.017337,0.021564
129,-0.007320,-1.022421,0.075945,-0.245,0.105,-0.301875,-0.650395,0.318036,0.081263,-85.246765,-0.321306,-170.804230,0.011416,0.011010,0.025406
130,-0.008113,-1.022299,0.070211,0.0175,0.14,-0.310625,-0.650395,0.318036,0.081263,-85.257942,-0.320682,-170.805298,0.011305,0.016569,0.024805
131,-0.007198,-1.018395,0.06832,-0.18375,0.083125,-0.3675,-0.650395,0.318036,0.081263,-85.275917,-0.319925,-170.805389,0.011921,0.020144,0.020025
132,-0.006466,-1.024434,0.074359,-0.77,0.09625,-0.380625,-0.650395,0.318036,0.081263,-85.289536,-0.320767,-170.806412,0.008630,0.011044,0.027162
133,-0.006405,-1.017602,0.068625,-0.231875,0.09625,-0.310625,-0.650395,0.318036,0.081263,-85.309654,-0.321213,-170.807724,0.008535,0.016396,0.020021
134,-0.006954,-1.018639,0.068198,-0.065625,0.1575,-0.28875,-0.650395,0.318036,0.081263,-85.322609,-0.321194,-170.809647,0.010062,0.016926,0.021014
135,-0.010553,-1.023946,0.068076,-2.0125,0.118125,-0.35875,-0.650395,0.318036,0.081263,-85.358849,-0.319167,-170.811295,0.013624,0.017406,0.026284
