,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
486,0.072773,-0.897188,-0.241804,18.007500,-0.494375,-3.26375,0.18328,0.379421,-0.442414,-109.434067,-3.525428,70.025612,-0.060681,0.038543,-0.070571
487,0.0671,-0.926895,-0.235033,31.815001,0.914375,-3.565625,0.18328,0.379421,-0.442414,-108.774002,-3.603592,70.034485,-0.068599,0.032242,-0.044253
488,0.065758,-1.06201,-0.141947,22.513750,-0.315000,-4.073125,0.18328,0.379421,-0.442414,-108.194626,-3.676052,70.065254,-0.185399,0.065023,0.05555
489,0.051484,-0.986736,-0.166286,3.158750,-1.421875,-4.178125,0.18328,0.379421,-0.442414,-108.017723,-3.74258,70.105675,-0.142596,0.037342,-0.008734
490,0.057828,-0.983808,-0.195444,-4.357500,-1.999375,-4.05125,0.18328,0.379421,-0.442414,-107.985802,-3.801278,70.159607,-0.113504,0.0319,-0.002053
491,0.069845,-0.955687,-0.220027,15.010625,-0.704375,-3.82375,0.18328,0.379421,-0.442414,-107.803268,-3.870964,70.192429,-0.077367,0.02839,-0.020322
492,0.065331,-0.933056,-0.184159,25.795000,1.032500,-3.976875,0.18328,0.379421,-0.442414,-107.263702,-3.956267,70.192062,-0.093344,0.030426,-0.060524
493,0.046726,-0.876997,-0.116937,7.713125, 0.157500,-3.976875,0.18328,0.379421,-0.442414,-106.824760,-4.032201,70.190567,-0.130002,0.034465,-0.10574
494,0.03843,-0.821426,-0.127795,-23.379999,-2.673125,-4.064375,0.18328,0.379421,-0.442414,-107.022713,-4.08974,70.238976,-0.131492,0.021843,-0.168984
495,0.019825,-0.701927,-0.11956,-32.900002,-3.976875,-3.91125,0.18328,0.379421,-0.442414,-107.549652,-4.120718,70.313873,-0.0947,0.005298,-0.306359
496,0.013298,-0.609451,-0.156038,-40.223751,-4.060000,-3.355625,0.18328,0.379421,-0.442414,-108.264351,-4.136593,70.40583,-0.062876,-0.012753,-0.356234
497,0.011834,-0.658129,-0.275964,-15.343125,-1.789375,-2.795625,0.18328,0.379421,-0.442414,-108.855652,-4.147552,70.475052,0.026169,-0.047346,-0.292204
498,0.025193,-0.767136,-0.291519,28.249374,2.170000,-1.89875,0.18328,0.379421,-0.442414,-108.726036,-4.163385,70.477654,0.023581,-0.045953,-0.212157
499,0.042273,-0.996557,-0.294569,50.413124,4.025000,-1.010625,0.18328,0.379421,-0.442414,-107.856323,-4.188181,70.412529,-0.020172,-0.029847,0.020778
500,0.076738,-1.212985,-0.23668,43.347500,2.576875,-0.126875,0.18328,0.379421,-0.442414,-106.642624,-4.207088,70.339691,-0.116776,0.024148,0.218289
501,0.089792,-1.268861,-0.150243,2.323125,-1.229375,0.3325,0.18328,0.379421,-0.442414,-106.296036,-4.198073,70.316917,-0.197805,0.064779,0.266474
502,0.099918,-1.146556,-0.212585,-32.707500,-3.911250,0.1925,0.18328,0.379421,-0.442414,-106.767220,-4.182123,70.361862,-0.114464,0.056682,0.163598
503,0.105652,-1.034255,-0.237473,-43.452499,-4.790625,-0.196875,0.18328,0.379421,-0.442414,-107.558365,-4.167956,70.441154,-0.070864,0.055223,0.062811
504,0.10797,-0.898652,-0.267363,-31.526251,-3.495625,-0.905625,0.18328,0.379421,-0.442414,-108.290054,-4.179166,70.512871,-0.01317,0.046266,-0.057296
505,0.095892,-0.807701,-0.2806,1.605625,-0.109375,-1.150625,0.18328,0.379421,-0.442414,-108.435173,-4.220616,70.528458,0.021292,0.026998,-0.140138
506,0.075884,-0.837347,-0.20984,24.101875,2.148125,-1.290625,0.18328,0.379421,-0.442414,-108.050537,-4.266719,70.494926,-0.052424,0.030716,-0.135412
507,0.052338,-0.962763,-0.170007,22.999374,1.015000,-0.958125,0.18328,0.379421,-0.442414,-107.498520,-4.291314,70.452904,-0.126606,0.023178,-0.029248
508,0.061549,-1.028887,-0.183671,6.348125,0.533750,0.245,0.18328,0.379421,-0.442414,-107.185501,-4.288699,70.417747,-0.126279,0.027604,0.03916
509,0.067466,-1.026264,-0.188002,-15.028125,-1.351875,1.036875,0.18328,0.379421,-0.442414,-107.237534,-4.263357,70.410301,-0.131284,0.03587,0.0375
510,0.062952,-1.017968,-0.235948,-15.986250,-1.220625,1.308125,0.18328,0.379421,-0.442414,-107.550766,-4.219681,70.422752,-0.086912,0.01652,0.043517
511,0.066307,-1.022116,-0.278404,1.474375,0.249375,1.246875,0.18328,0.379421,-0.442414, -107.652878,-4.187251,70.409698,-0.034238,0.000884,0.058463
512,0.084607,-1.060485,-0.250771,5.600000,1.194375,0.791875,0.18328,0.379421,-0.442414,-107.470978,-4.171267,70.367531,-0.072532,0.028517,0.089876
513,0.096929,-1.03944,-0.214476,-6.982500,0.455000,0.30625,0.18328,0.379421,-0.442414,-107.490196,-4.174539,70.341522,-0.094636,0.05465,0.060329
514,0.101382,-0.977708,-0.242353,-15.369375,0.109375,-0.643125,0.18328,0.379421,-0.442414,-107.729179,-4.195146,70.331017,-0.053451,0.048213,0.009999
515,0.100223,-0.919575,-0.243024,-13.370000,0.638750,-1.14625,0.18328,0.379421,-0.442414,-107.979782,-4.23501,70.321152,-0.039343,0.04556,-0.045322
516,0.087962,-0.884805,-0.207522,-11.239375,0.918750,-1.89875,0.18328,0.379421,-0.442414,-108.174164,-4.287093,70.306969,-0.067229,0.045174,-0.090377
517,0.068076,-0.844789,-0.236924,-8.995000,1.251250,-2.09125,0.18328,0.379421,-0.442414,-108.346527,-4.337352,70.288246,-0.036727,0.018303,-0.120514
518,0.053131,-0.817278,-0.241682,5.145000,2.607500,-1.575,0.18328,0.379421,-0.442414,-108.314018,-4.382348,70.250229,-0.034478,0.002378,-0.1455
519,0.047885,-0.813496,-0.173606,23.296875,3.968125,-1.1025,0.18328,0.379421,-0.442414,-107.935364,-4.409328,70.184273,-0.078892,0.003431,-0.168463
520,0.078019,-0.866749,-0.149877,18.856251,3.408125,-1.045625,0.18328,0.379421,-0.442414,-107.415932,-4.457291,70.104698,-0.096229,0.049766,-0.123867
521,0.039162,-0.845155,-0.127002,8.470000,2.467500,-1.1025,0.18328,0.379421,-0.442414,-107.077927,-4.480997,70.041725,-0.125679,0.006058,-0.139841
522,0.09089,-0.928725,-0.141459,1.540000,1.338750,-1.194375,0.18328,0.379421,-0.442414,-106.865967,-4.531125,69.987862,-0.102218,0.057588,-0.048662
523,0.069052,-0.977159,-0.142191,-23.196251,-0.516250,-1.4525,0.18328,0.379421,-0.442414,-107.157593,-4.553226,69.988846,-0.145937,0.0438,-0.044662
524,0.099369,-0.851072,-0.242719,-18.834375,-0.634375,-1.61,0.18328,0.379421,-0.442414,-107.587006,-4.591537,70.00676,-0.014346,0.035098,-0.110091
525,0.077836,-0.968131,-0.283223,1.745625,0.861875,-1.32125,0.18328,0.379421,-0.442414,-107.610374,-4.614564,69.998337,-0.022539,0.004225,0.011623
526,0.10004,-1.027484,-0.258945,3.950625,0.730625,-1.045625,0.18328,0.379421,-0.442414,-107.491096,-4.650579,69.979744,-0.053077,0.033981,0.062643
527,0.096685,-1.037183,-0.214171,-17.985624,-1.491875,-0.844375,0.18328,0.379421,-0.442414,-107.635880,-4.667894,69.989296,-0.099589,0.047403,0.057928
